176.6582,0,0,0,grasp
176.852,0,0,0,move right
177.5125,0,0,0,move up
180.2448,0,0,0,move left
180.9557,0,0,0,move left
181.1865,0,0,0,move up
181.3164,0,0,0,grasp
181.5052,0,0,0,move right
182.1521,0,0,0,move up
184.8762,0,0,0,move left
185.5536,0,0,0,move left
185.7776,0,0,0,move up
185.8839,0,0,0,grasp
186.0238,0,0,0,move right
186.6079,0,0,0,move up
189.4497,0,0,0,move left
190.1881,0,0,0,move up
190.3588,0,0,0,grasp
190.485,0,0,0,move right
191.1073,0,0,0,move up
193.8402,0,0,0,move left
194.8034,0,0,0,move left
195.0676,0,0,0,move up
195.1715,0,0,0,grasp
195.2937,0,0,0,move right
195.8509,0,0,0,move up
198.6606,0,0,0,move left
199.3029,0,0,0,move left
199.5331,0,0,0,move up
199.8011,0,0,0,move right
199.9109,0,0,0,grasp
200.1668,0,0,0,move right
200.9446,0,0,0,move right
201.188,0,0,0,move up
203.7079,0,0,0,move left
204.993,0,0,0,move right
205.119,0,0,0,move up
205.2311,0,0,0,grasp
205.4733,0,0,0,move right
205.987,0,0,0,move up
208.466,0,0,0,move left
209.0949,0,0,0,move left
209.3089,0,0,0,move up
209.4127,0,0,0,grasp
209.5434,0,0,0,move right
210.0948,0,0,0,move up
210.4107,0,0,0,move left
213.0772,0,0,0,move left
213.5742,0,0,0,move up
213.7192,0,0,0,grasp
214.2423,0,0,0,move up
214.3843,0,0,0,move left
216.7395,0,0,0,move left
217.3054,0,0,0,move up
217.3613,0,0,0,move right
217.3733,0,0,0,grasp
217.8204,0,0,0,move left
218.3136,0,0,0,grasp
218.3798,0,0,0,move right
218.9607,0,0,0,move up
219.1367,0,0,0,move left
219.7953,0,0,0,move down
220.0072,0,0,0,move right
220.6494,0,0,0,move left
221.0343,0,0,0,move up
221.2585,0,0,0,move left
222.5745,0,0,0,move right
222.7907,0,0,0,move up
223.0264,0,0,0,grasp
223.1905,0,0,0,move up
223.2849,0,0,0,move left
225.6989,0,0,0,move left
226.5597,0,0,0,move up
226.7282,0,0,0,grasp
226.883,0,0,0,move right
227.7638,0,0,0,move up
230.3372,0,0,0,move left
231.1273,0,0,0,move up
231.3559,0,0,0,move right
231.5911,0,0,0,grasp
231.8073,0,0,0,move right
232.5898,0,0,0,grasp
232.7089,0,0,0,move right
233.164,0,0,0,move up
233.3849,0,0,0,move left
236.8273,0,0,0,move left
237.4877,0,0,0,move left
237.7073,0,0,0,move up
237.927,0,0,0,move right
237.9858,0,0,0,grasp
238.4981,0,0,0,move right
239.2344,0,0,0,move right
239.4179,0,0,0,move up
239.7555,0,0,0,move left
240.2828,0,0,0,move right
240.3084,0,0,0,move down
240.9375,0,0,0,move down
240.9749,0,0,0,move left
241.5411,0,0,0,move left
241.8197,0,0,0,grasp
241.97,0,0,0,move up
244.1807,0,0,0,move left
244.983,0,0,0,move left
245.2271,0,0,0,move up
245.4229,0,0,0,grasp
245.6639,0,0,0,move right
245.9644,0,0,0,move left
246.2957,0,0,0,move up
246.5312,0,0,0,grasp
246.7604,0,0,0,move right
247.5079,0,0,0,move right
247.7336,0,0,0,move up
257.5778,0,0,0,move left
258.2777,0,0,0,move left
258.4824,0,0,0,move up
258.6959,0,0,0,grasp
258.8756,0,0,0,move right
259.1897,0,0,0,move left
259.6626,0,0,0,move up
259.8229,0,0,0,grasp
260.0235,0,0,0,move right
260.8391,0,0,0,move right
261.0564,0,0,0,move up
